DATE;INDPRO_PCH;WILL5000PR_PCH;HSN1F_PCH;DCOILBRENTEU_PCH;CORESTICKM159SFRBATL_PCH;TOTALSA_PCH;CPIUFDSL_PCH;DEXJPUS_PCH;MICH_PCH;VIXCLS_PCH;PAYEMS_PCH;PPIACO_PCH
1993-07-01;0.25325;0.51135;0.30628;-4.96962;-4.11031;-0.26915;0.00000;0.26032;-14.28571;-8.17317;0.27900;-0.25105
1993-08-01;-0.10811;1.76883;-1.52672;-0.47250;2.51837;-5.99958;0.35562;-3.64600;6.66667;3.72298;0.13416;-0.41946
1993-09-01;0.52083;1.42246;12.55814;-4.09897;3.80679;2.98881;0.21262;1.74410;-6.25000;8.40660;0.22031;0.00000
1993-10-01;0.73714;1.40071;-3.03030;3.71506;-5.97538;6.58327;0.42433;1.36892;10.00000;-8.16762;0.25122;0.33698
1993-11-01;0.46713;-0.73284;9.23295;-8.49239;0.33695;-0.19449;0.21127;0.80032;-15.15152;18.59812;0.22912;-0.08396
1993-12-01;0.57769;0.47891;5.59168;-9.67764;3.26513;0.81978;0.35137;1.88785;7.14286;-19.36582;0.29824;-0.33613
1994-01-01;0.31851;1.77037;-23.76847;4.12209;-4.86733;2.49933;0.07003;1.39061;-6.66667;-0.58018;0.24394;0.42159
1994-02-01;0.05182;-0.02582;10.82391;-3.42511;1.18967;0.91683;-0.13996;-4.61269;0.00000;20.84708;0.16075;0.16793
1994-03-01;1.01247;-1.21761;8.89213;0.14932;4.51505;-1.41108;0.00000;-1.13231;7.14286;11.57464;0.40876;0.33529
1994-04-01;0.58370;-4.06140;-7.36278;10.19323;-6.04326;4.65329;0.21023;-1.53487;0.00000;8.19507;0.30643;0.00000
1994-05-01;0.46997;0.34317;-0.14451;6.27920;-3.84166;-8.96771;0.20979;0.25999;3.33333;-15.62687;0.29581;0.16708
1994-06-01;0.66939;0.55015;-10.13025;3.55314;-0.95471;3.64958;0.34892;-1.18258;-12.90323;-3.51516;0.27562;0.50042
1994-07-01;0.12046;-0.85905;1.12721;4.98916;1.22519;-1.54875;0.55633;-3.98079;7.40741;-6.89210;0.32389;0.16598
1994-08-01;0.66938;2.82943;4.45860;-4.01600;2.25222;3.25378;0.34578;1.51906;6.89655;-4.76887;0.25478;0.41425
1994-09-01;0.29814;0.98190;3.20122;-5.90625;-1.58564;-0.55342;0.13784;-1.16684;9.67742;11.30615;0.30810;-0.16502
1994-10-01;0.81742;-0.76019;5.61300;3.74631;-2.76612;4.05919;0.00000;-0.42651;-11.76471;15.20331;0.17787;-0.08264
1994-11-01;0.66844;-0.76560;-9.65035;4.25026;-1.13714;-0.02517;0.20647;-0.31417;6.66667;7.46837;0.35944;0.49628
1994-12-01;1.00033;-1.84197;-2.63158;-7.32556;-7.25112;-1.92574;0.82418;2.18104;-6.25000;-13.46858;0.26149;0.32922
1995-01-01;0.18962;2.47758;-0.47695;3.89094;8.36666;-5.02438;-0.06812;-0.41562;0.00000;-13.42201;0.28233;0.82034
1995-02-01;-0.12038;3.46932;-10.70288;3.39898;-0.63929;0.40538;0.40900;-1.53274;0.00000;-6.55261;0.16223;0.48820
1995-03-01;0.13864;2.03494;10.19678;-0.63092;1.38859;2.65796;-0.13578;-7.85579;6.66667;6.07255;0.18339;0.32389
1995-04-01;-0.17787;2.65766;0.81169;9.65401;4.39477;-5.75511;0.67981;-7.54540;3.12500;2.26942;0.13515;0.56497
1995-05-01;0.48073;2.90484;8.53462;-1.59491;1.47005;2.97677;0.06752;1.70060;-9.09091;-1.42030;-0.01281;0.24077
1995-06-01;0.33369;3.17208;7.56677;-5.65739;-0.68581;4.05917;0.06748;-0.56075;-3.33333;-3.00908;0.20162;0.32026
1995-07-01;-0.41412;3.87030;5.51724;-8.42410;1.64048;-4.58882;0.13486;3.26287;0.00000;5.18779;0.07759;0.00000
1995-08-01;1.30742;1.20732;-8.36601;1.52689;-4.39357;4.54422;0.06734;8.39990;0.00000;2.27154;0.22321;-0.15962
1995-09-01;0.38699;3.82235;-3.28103;3.74718;3.50684;-0.19521;0.33647;6.12977;-3.44828;-5.79189;0.20486;0.07994
1995-10-01;-0.16144;-0.13347;2.65487;-3.52474;3.35408;-3.10992;0.26828;0.29196;3.57143;19.07832;0.12640;0.07987
1995-11-01;0.24124;1.92931;-4.59770;4.65523;-2.42935;3.49236;0.06689;1.09179;-3.44828;-13.15170;0.11777;0.07981
1995-12-01;0.34297;2.66084;6.77711;6.31255;-0.00388;5.73472;0.20053;-0.08878;-3.57143;-5.77869;0.13286;0.23923
1996-01-01;-0.52160;-0.23877;0.70522;-0.40212;-3.04023;-8.91649;0.33356;3.83107;3.70370;14.68389;-0.00592;0.47733
1996-02-01;1.44972;5.60989;7.70308;0.81703;-0.52299;5.23224;0.26596;0.03458;0.00000;11.57344;0.35159;-0.07918
1996-03-01;-0.16119;0.13227;-6.24187;10.29420;-3.84778;2.93193;0.39788;0.14368;3.57143;18.15593;0.21561;0.15848
1996-04-01;1.01496;0.76317;2.08044;5.28209;-4.13855;-3.60259;0.39630;1.18892;3.44828;-6.68347;0.13951;0.79114
1996-05-01;0.73802;2.99794;1.35870;-8.35261;1.43086;3.40747;-0.06579;-0.79970;3.33333;-2.58744;0.27947;0.54945
