"","H","period","YEAR","QUARTER","ID","INDUSTRY","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","nbin_tot","openL","openR","n.b.mode","prob.mode","mode","mean","var","median"
"3892",1,0,1992,2,30,3,0,0,0,0.15,0.7,0.15,0,0,0,0,NA,0.3,0,0,1,0.7,2.5,2.5,0.383333333333333,2.5
"3893",1,0,1992,2,35,2,0.01,0.01,0.1,0.15,0.4,0.15,0.1,0.05,0.02,0.01,NA,1,1,1,1,0.4,2.5,2.28,2.5216,2.425
"3894",1,0,1992,2,40,2,0,0,0,0,0.35,0.35,0.3,0,0,0,NA,0.3,0,0,2,0.35,2,1.55,0.730833333333334,1.57142857142857
"3895",1,0,1992,2,60,2,0,0,0,0,0.6,0.35,0.05,0,0,0,NA,0.3,0,0,1,0.6,2.5,2.05,0.430833333333333,2.16666666666667
"3896",1,0,1992,2,62,2,0,0,0,0.1,0.45,0.35,0.1,0,0,0,NA,0.4,0,0,1,0.45,2.5,2.05,0.730833333333334,2.11111111111111
"3897",1,0,1992,2,65,1,0,0,0,0.05,0.75,0.2,0,0,0,0,NA,0.3,0,0,1,0.75,2.5,2.35,0.310833333333336,2.4
"3898",1,0,1992,2,84,1,0,0,0,0,0.2,0.75,0.05,0,0,0,NA,0.3,0,0,1,0.75,1.5,1.65,0.310833333333334,1.6
"3899",1,0,1992,2,94,1,0,0.05,0.1,0.1,0.4,0.15,0.1,0.05,0.05,0,NA,0.8,0,0,1,0.4,2.5,2.25,2.77083333333333,2.375
"3900",1,0,1992,2,99,1,0,0,0.05,0.25,0.55,0.11,0.04,0,0,0,NA,0.5,0,0,1,0.55,2.5,2.66,0.777733333333333,2.63636363636364
"3901",1,0,1992,2,404,2,0,0,0,0.1,0.5,0.35,0.05,0,0,0,NA,0.4,0,0,1,0.5,2.5,2.15,0.610833333333334,2.2
"3902",1,0,1992,2,407,1,0,0,0,0.5,0.5,0,0,0,0,0,NA,0.2,0,0,2,0.5,3,3,0.333333333333334,3
"3903",1,0,1992,2,408,1,0,0,0,0.25,0.6,0.1,0.05,0,0,0,NA,0.4,0,0,1,0.6,2.5,2.55,0.630833333333333,2.58333333333333
"3904",1,0,1992,2,409,1,0,0.01,0.05,0.3,0.5,0.1,0.04,0,0,0,NA,0.6,0,0,1,0.5,2.5,2.75,0.870833333333332,2.72
"3905",1,0,1992,2,410,2,0,0,0.1,0.2,0.6,0.1,0,0,0,0,NA,0.4,0,0,1,0.6,2.5,2.8,0.693333333333332,2.66666666666667
"3906",1,0,1992,2,411,2,0.01,0.05,0.08,0.15,0.3,0.3,0.1,0.01,0,0,NA,0.8,1,0,2,0.3,2,2.47,1.95243333333333,2.3
"3907",1,0,1992,2,412,2,0,0,0,0.1,0.7,0.15,0.05,0,0,0,NA,0.4,0,0,1,0.7,2.5,2.35,0.510833333333331,2.42857142857143
